p1_class,p1_level,p1_hp,p1_ac,p1_avg_save,p2_class,p2_level,p2_hp,p2_ac,p2_avg_save,p3_class,p3_level,p3_hp,p3_ac,p3_avg_save,p4_class,p4_level,p4_hp,p4_ac,p4_avg_save,num_of_monsters,monster_name,monster_cr,monster_ac,monster_hp,dificulty
Warlock,4,21,13,3,Cleric,4,34,19,3,Bard,4,28,13,3,Cleric,4,27,20,3,2,Ogre,2.0,11,59,0.7914078358616174
Monk,4,22,10,3,Rogue,4,26,12,3,Sorcerer,4,28,13,3,Rogue,4,29,12,3,2,Drider,6.0,19,123,0.0
Wizzard,1,8,12,2,Cleric,1,8,15,2,Ranger,1,10,17,2,Warlock,1,4,15,2,2,Saber-Toothed Tiger,2.0,12,52,0.0
Sorcerer,2,8,12,2,Artificer,2,17,16,2,Monk,2,20,13,2,Monk,2,8,10,2,1,Yuan-ti Nightmare Speaker,4.0,14,71,0.8017357762777242
Sorcerer,1,3,15,2,Monk,1,8,11,2,Barbarian,1,14,13,2,Cleric,1,9,19,2,10,Twig Blight,0.125,13,4,0.7021659541009387
Fighter,2,18,18,2,Monk,2,12,16,2,Wizzard,2,12,11,2,Druid,2,19,13,2,1,Green Dragon Wyrmling,2.0,17,38,0.9213947990543736
Cleric,4,27,15,3,Artificer,4,35,15,3,Artificer,4,24,18,3,Ranger,4,39,17,3,1,Thorny Vegepygmy,1.0,14,27,0.9901071140449538
Barbarian,4,55,16,3,Artificer,4,25,18,3,Druid,4,37,13,3,Monk,4,35,13,3,2,Will-o'-Wisp,2.0,19,22,1.0
Barbarian,4,39,15,3,Fighter,4,38,14,3,Ranger,4,47,12,3,Wizzard,4,29,13,3,2,Maurezhi,7.0,15,88,0.29063062727820393
Cleric,2,13,12,2,Druid,2,13,13,2,Barbarian,2,20,14,2,Artificer,2,15,14,2,10,Needle Blight,0.25,12,11,0.274286061489853
Barbarian,2,23,15,2,Druid,2,16,12,2,Cleric,2,13,15,2,Sorcerer,2,12,13,2,1,Duergar Xarrorn,2.0,18,26,0.9786989520157482
Fighter,2,19,15,2,Sorcerer,2,15,15,2,Warlock,2,13,13,2,Cleric,2,15,16,2,1,Stegosaurus,4.0,13,76,0.397979033826867
Druid,5,42,16,3,Warlock,5,43,13,3,Monk,5,46,10,3,Druid,5,28,15,3,1,Death Kiss,10.0,15,142,0.7774962570540136
Bard,4,34,13,3,Artificer,4,33,18,3,Ranger,4,44,13,3,Rogue,4,28,16,3,8,Nilbog,1.0,13,7,0.9269992969758436
Barbarian,2,13,14,2,Bard,2,16,12,2,Druid,2,18,15,2,Cleric,2,16,16,2,1,Giant Toad,1.0,11,39,1.0
Warlock,5,37,12,3,Bard,5,38,14,3,Artificer,5,27,12,3,Monk,5,41,16,3,10,Cultist,0.125,12,9,0.9383999191791227
Sorcerer,3,16,12,3,Wizzard,3,17,13,3,Ranger,3,23,15,3,Rogue,3,23,11,3,10,Raven,0.0,12,1,1.0
Warlock,4,33,13,3,Paladin,4,41,18,3,Warlock,4,27,14,3,Bard,4,32,14,3,5,Hippogriff,1.0,11,19,0.2779559896998258
Warlock,3,21,11,3,Bard,3,25,12,3,Cleric,3,27,13,3,Bard,3,23,12,3,1,Spirit Naga,8.0,15,75,0.12138009757317987
Fighter,3,22,16,3,Rogue,3,24,11,3,Bard,3,18,12,3,Artificer,3,24,16,3,2,Black Abishai,7.0,15,58,0.0
Warlock,3,19,15,3,Monk,3,25,13,3,Bard,3,22,12,3,Monk,3,15,15,3,2,Quetzalcoatlus,2.0,13,30,0.6397590735041232
Artificer,4,37,18,3,Rogue,4,31,12,3,Cleric,4,27,20,3,Druid,4,31,15,3,1,Bone Naga (Guardian),4.0,15,58,1.0
Sorcerer,2,13,12,2,Rogue,2,14,12,2,Rogue,2,18,16,2,Artificer,2,16,18,2,2,Quetzalcoatlus,2.0,13,30,0.13359352621025494
Wizzard,3,17,11,3,Warlock,3,28,14,3,Fighter,3,27,13,3,Ranger,3,24,14,3,4,Yuan-ti Broodguard,2.0,14,45,0.3969707228151635
Druid,2,15,12,2,Artificer,2,14,18,2,Sorcerer,2,11,14,2,Paladin,2,20,17,2,5,Grung Wildling,1.0,16,27,0.01828660090878865
Cleric,4,37,18,3,Fighter,4,32,15,3,Barbarian,4,37,13,3,Bard,4,28,16,3,2,Mage,6.0,12,40,0.0
Ranger,3,26,14,3,Bard,3,26,16,3,Druid,3,20,13,3,Ranger,3,26,16,3,10,Eagle,0.0,12,3,0.8328264758497317
Fighter,1,13,14,2,Monk,1,9,16,2,Cleric,1,11,20,2,Warlock,1,10,16,2,1,Ogre Zombie,2.0,8,85,0.7348048711591874
Cleric,2,15,12,2,Fighter,2,20,16,2,Bard,2,10,12,2,Barbarian,2,24,14,2,1,Faerie Dragon (Red),1.0,15,14,1.0
Ranger,2,16,15,2,Barbarian,2,20,15,2,Rogue,2,17,14,2,Artificer,2,13,14,2,1,Lizard King,4.0,15,78,0.370289359763044
Paladin,2,21,15,2,Paladin,2,18,18,2,Ranger,2,21,15,2,Paladin,2,18,15,2,10,Skeleton,0.25,13,13,0.0
Artificer,3,28,13,3,Monk,3,23,10,3,Warlock,3,22,15,3,Rogue,3,29,11,3,1,Dhergoloth,7.0,15,119,0.3677424155457599
Rogue,1,7,15,2,Wizzard,1,6,10,2,Paladin,1,7,14,2,Monk,1,6,14,2,2,Hunter Shark,2.0,12,45,0.0
Bard,4,23,15,3,Barbarian,4,40,17,3,Artificer,4,27,14,3,Paladin,4,25,14,3,3,Cave Fisher,3.0,16,58,0.9527541083384055
Bard,4,33,12,3,Artificer,4,30,17,3,Paladin,4,27,14,3,Rogue,4,34,12,3,3,Flail Snail,3.0,16,52,1.0
Monk,3,16,13,3,Sorcerer,3,20,13,3,Fighter,3,25,19,3,Warlock,3,25,12,3,2,Animated Armor,1.0,18,33,0.8327272727272726
Paladin,5,52,19,3,Cleric,5,40,19,3,Warlock,5,44,13,3,Wizzard,5,35,13,3,2,Flind,9.0,16,127,0.16829708853238265
Bard,1,8,13,2,Rogue,1,5,12,2,Bard,1,8,12,2,Fighter,1,8,15,2,2,Giant Strider,1.0,14,22,0.0
Sorcerer,1,4,10,2,Rogue,1,9,11,2,Paladin,1,7,19,2,Sorcerer,1,5,10,2,10,Aarakocra,0.25,12,13,0.0
Monk,2,12,14,2,Fighter,2,20,19,2,Cleric,2,13,19,2,Sorcerer,2,10,15,2,1,Ogre Battering Ram,4.0,11,76,0.642212333121424
Barbarian,1,7,13,2,Bard,1,8,12,2,Ranger,1,9,12,2,Barbarian,1,10,16,2,2,Tortle Druid,2.0,17,33,0.7621720519193593
Artificer,4,24,16,3,Druid,4,34,14,3,Warlock,4,31,13,3,Rogue,4,32,13,3,2,Gorgon,5.0,19,114,0.0
Rogue,5,39,13,3,Wizzard,5,34,13,3,Warlock,5,41,11,3,Monk,5,37,10,3,3,Enchanter Wizard,5.0,12,49,0.7322196605504785
Bard,3,23,13,3,Wizzard,3,13,12,3,Druid,3,21,14,3,Wizzard,3,23,13,3,10,Vegepygmy,0.25,13,13,0.0
Druid,3,18,11,3,Monk,3,20,12,3,Paladin,3,33,17,3,Wizzard,3,16,11,3,6,Quadrone,1.0,16,22,0.0
Bard,2,18,14,2,Ranger,2,17,13,2,Bard,2,19,13,2,Sorcerer,2,16,10,2,1,Young Brass Dragon,6.0,17,110,0.0
Rogue,5,52,11,3,Cleric,5,39,14,3,Artificer,5,31,17,3,Druid,5,32,14,3,1,Vrock,6.0,15,104,1.0
Artificer,5,45,15,3,Artificer,5,39,17,3,Warlock,5,47,15,3,Warlock,5,39,16,3,2,Young Red Dragon,10.0,18,178,0.0
Paladin,3,31,16,3,Ranger,3,25,15,3,Barbarian,3,33,13,3,Monk,3,24,15,3,3,Faerie Dragon (Green),2.0,15,14,1.0
Ranger,3,28,13,3,Bard,3,26,16,3,Monk,3,18,16,3,Bard,3,19,12,3,10,Swarm of Centipedes,0.5,12,22,0.0
Cleric,1,5,20,2,Ranger,1,8,13,2,Fighter,1,8,14,2,Druid,1,10,16,2,10,Skeleton,0.25,13,13,0.0
Ranger,3,26,12,3,Ranger,3,32,16,3,Rogue,3,15,12,3,Artificer,3,28,13,3,2,Couatl,4.0,19,97,0.6697734098193058
Sorcerer,4,22,12,3,Bard,4,23,14,3,Barbarian,4,38,12,3,Sorcerer,4,17,15,3,10,Swarm of Centipedes,0.5,12,22,0.0
Rogue,1,8,16,2,Sorcerer,1,3,10,2,Ranger,1,10,14,2,Bard,1,6,13,2,1,Mimic,2.0,12,58,0.617911877394636
Barbarian,5,52,14,3,Bard,5,30,14,3,Paladin,5,42,18,3,Bard,5,42,14,3,2,Fomorian,8.0,14,149,0.19629715196442798
Artificer,2,16,12,2,Warlock,2,16,12,2,Ranger,2,18,13,2,Warlock,2,18,12,2,10,Kuo-toa,0.25,13,18,0.0
