Enemy,CR
Aarakocra,0.25
Abjurer Wizard,9.0
Aboleth,10.0
Abominable Yeti,9.0
Acolyte,0.25
Adult Brass Dragon,13.0
Adult Kruthik,2.0
Adult Oblex,5.0
Adult White Dragon,13.0
Air Elemental,5.0
Air Elemental Myrmidon,7.0
Alhoon,10.0
Alkilith,11.0
Allip,5.0
Allosaurus,2.0
Angry Sorrowsworn,13.0
Animated Armor,1.0
Ankheg,2.0
Ankylosaurus,3.0
Annis Hag,6.0
Ape,0.5
Apprentice Wizard,0.25
Arcanaloth,12.0
Archdruid,12.0
Archer,3.0
Archmage,12.0
Armanite,7.0
Assassin,8.0
Aurochs,2.0
Autumn Eladrin,10.0
Awakened Shrub,0.0
Awakened Tree,2.0
Axe Beak,0.25
Azer,2.0
Babau,4.0
Baboon,0.0
Badger,0.0
Balhannoth,11.0
Banderhobb,5.0
Bandit,0.125
Bandit Captain,2.0
Banshee,4.0
Barbed Devil,5.0
Bard,2.0
Barghest,4.0
Barlgura,5.0
Basilisk,3.0
Bat,0.0
Bearded Devil,3.0
Behir,11.0
Beholder,13.0
Beholder Zombie,5.0
Berbalang,2.0
Berserker,2.0
Bheur Hag,7.0
Black Abishai,7.0
Black Bear,0.5
Black Dragon Wyrmling,2.0
Black Pudding,4.0
Blackguard,8.0
Blink Dog,0.25
Blood Hawk,0.125
Blue Dragon Wyrmling,3.0
Blue Slaad,7.0
Boar,0.25
Bodak,6.0
Boggle,0.125
Bone Devil,9.0
Bone Naga (Guardian),4.0
Bone Naga (Spirit),4.0
Boneclaw,12.0
Brass Dragon Wyrmling,1.0
Brontosaurus,5.0
Bronze Dragon Wyrmling,2.0
Brown Bear,1.0
Bugbear,1.0
Bugbear Chief,3.0
Bulette,5.0
Bulezau,3.0
Bullywug,0.25
Cambion,5.0
Camel,0.125
Canoloth,8.0
Carrion Crawler,2.0
Cat,0.0
Catoblepas,5.0
Cave Bear,2.0
Cave Fisher,3.0
Centaur,2.0
Chain Devil,8.0
Champion,9.0
Chasme,6.0
Chimera,6.0
Chitine,0.5
Choker,1.0
Choldrith,3.0
Chuul,4.0
Clay Golem,9.0
Cloaker,8.0
Clockwork Bronze Scout,1.0
Clockwork Iron Cobra,4.0
Clockwork Oaken Bolter,5.0
Clockwork Stone Defender,4.0
Cloud Giant,9.0
Cloud Giant Smiling One,11.0
Cockatrice,0.5
Commoner,0.0
Constrictor Snake,0.25
Copper Dragon Wyrmling,1.0
Corpse Flower,8.0
Couatl,4.0
Crab,0.0
Cranium Rat,0.0
Crawling Claw,0.0
Crocodile,0.5
Cult Fanatic,2.0
Cultist,0.125
Cyclops,6.0
Dao,11.0
Darkling,0.5
Darkling Elder,2.0
Darkmantle,0.5
Death Dog,1.0
Death Kiss,10.0
Death Slaad,10.0
Deathlock,4.0
Deathlock Mastermind,8.0
Deathlock Wight,3.0
Deep Gnome (Svirfneblin),0.5
Deep Rothé,0.25
Deep Scion,3.0
Deer,0.0
Deinonychus,1.0
Derro,0.25
Derro Savant,3.0
Deva,10.0
Devourer,13.0
Dhergoloth,7.0
Dimetrodon,0.25
Dire Troll,13.0
Dire Wolf,1.0
Displacer Beast,3.0
Diviner Wizard,8.0
Djinni,11.0
Dolphin,0.125
Dolphin Delighter,3.0
Doppelganger,3.0
Draegloth,7.0
Draft Horse,0.25
Dretch,0.25
Drider,6.0
Drow,0.25
Drow Arachnomancer,13.0
Drow Elite Warrior,5.0
Drow House Captain,9.0
Drow Mage,7.0
Drow Priestess of Lolth,8.0
Drow Shadowblade,11.0
Druid,2.0
Dryad,1.0
Duergar,1.0
Duergar Despot,12.0
Duergar Hammerer,2.0
Duergar Kavalrachni,2.0
Duergar Mind Master,2.0
Duergar Screamer,3.0
Duergar Soulblade,1.0
Duergar Stone Guard,2.0
Duergar Warlord,6.0
Duergar Xarrorn,2.0
Duodrone,0.25
Dust Mephit,0.5
Dybbuk,4.0
Eagle,0.0
Earth Elemental,5.0
Earth Elemental Myrmidon,7.0
Efreeti,11.0
Eidolon,12.0
Elder Oblex,10.0
Elephant,4.0
Elk,0.25
Enchanter Wizard,5.0
Erinyes,12.0
Ettercap,2.0
Ettin,4.0
Evoker Wizard,9.0
Faerie Dragon (Blue),2.0
Faerie Dragon (Green),2.0
Faerie Dragon (Indigo),2.0
Faerie Dragon (Orange),1.0
Faerie Dragon (Red),1.0
Faerie Dragon (Violet),2.0
Faerie Dragon (Yellow),1.0
Female Steeder,1.0
Fire Elemental,5.0
Fire Elemental Myrmidon,7.0
Fire Giant,9.0
Fire Snake,1.0
Firenewt Warlock of Imix,1.0
Firenewt Warrior,0.5
Flail Snail,3.0
Flameskull,4.0
Flesh Golem,5.0
Flind,9.0
Flumph,0.125
Flying Snake,0.125
Flying Sword,0.25
Fomorian,8.0
Frog,0.0
Froghemoth,10.0
Frost Giant,8.0
Frost Giant Everlasting One,12.0
Frost Salamander,9.0
Galeb Duhr,6.0
Gargoyle,2.0
Gas Spore,0.5
Gauth,6.0
Gazer,0.5
Gelatinous Cube,2.0
Ghast,2.0
Ghost,4.0
Ghoul,1.0
Giant Ape,7.0
Giant Badger,0.25
Giant Bat,0.25
Giant Boar,2.0
Giant Centipede,0.25
Giant Constrictor Snake,2.0
Giant Crab,0.125
Giant Crocodile,5.0
Giant Eagle,1.0
Giant Elk,2.0
Giant Fire Beetle,0.0
Giant Frog,0.25
Giant Goat,0.5
Giant Hyena,1.0
Giant Lizard,0.25
Giant Octopus,1.0
Giant Owl,0.25
Giant Poisonous Snake,0.25
Giant Rat,0.125
Giant Scorpion,3.0
Giant Sea Horse,0.5
Giant Shark,5.0
Giant Spider,1.0
Giant Strider,1.0
Giant Toad,1.0
Giant Vulture,1.0
Giant Wasp,0.5
Giant Weasel,0.125
Giant Wolf Spider,0.25
