p1_class,p1_level,p1_hp,p1_ac,p1_avg_save,p2_class,p2_level,p2_hp,p2_ac,p2_avg_save,p3_class,p3_level,p3_hp,p3_ac,p3_avg_save,p4_class,p4_level,p4_hp,p4_ac,p4_avg_save,num_of_monsters,monster_name,monster_cr,monster_ac,monster_hp,dificulty
Wizzard,3,20,12,3,Rogue,3,16,12,3,Druid,3,24,13,3,Warlock,3,22,15,3,5,Centaur,2.0,12,45,0.0
Sorcerer,2,10,13,2,Druid,2,11,16,2,Paladin,2,17,15,2,Fighter,2,18,15,2,10,Grung,0.25,12,11,0.0
Rogue,4,30,16,3,Barbarian,4,30,16,3,Wizzard,4,14,12,3,Artificer,4,30,16,3,4,Duergar Screamer,3.0,15,38,0.7407407407407407
Bard,3,20,15,3,Cleric,3,24,18,3,Cleric,3,23,19,3,Fighter,3,18,18,3,1,Orc War Chief,4.0,16,93,0.468580982888332
Paladin,5,49,18,3,Warlock,5,42,13,3,Fighter,5,42,18,3,Sorcerer,5,27,13,3,2,Young Gold Dragon,10.0,18,178,0.0
Cleric,3,17,18,3,Druid,3,32,15,3,Ranger,3,29,16,3,Cleric,3,19,17,3,10,Frog,0.0,11,1,1.0
Rogue,5,43,17,3,Cleric,5,44,13,3,Monk,5,35,14,3,Bard,5,40,15,3,1,Gray Render,12.0,19,189,0.544151620178289
Artificer,4,23,17,3,Bard,4,28,13,3,Monk,4,33,13,3,Wizzard,4,30,14,3,10,Steam Mephit,0.25,10,21,0.8443805661734106
Paladin,3,23,14,3,Monk,3,25,14,3,Paladin,3,25,19,3,Sorcerer,3,15,13,3,1,Vegepygmy Chief,2.0,14,33,0.9663414634146341
Warlock,2,8,15,2,Bard,2,16,16,2,Bard,2,12,14,2,Monk,2,14,11,2,10,Giant Centipede,0.25,13,4,0.0
Wizzard,3,23,15,3,Warlock,3,17,13,3,Barbarian,3,28,17,3,Fighter,3,23,12,3,1,Shield Guardian,7.0,17,142,0.0
Sorcerer,2,15,12,2,Warlock,2,13,13,2,Ranger,2,17,14,2,Ranger,2,16,16,2,10,Elk,0.25,10,13,0.0
Fighter,5,32,17,3,Ranger,5,44,16,3,Sorcerer,5,30,15,3,Sorcerer,5,20,12,3,10,Mule,0.125,10,11,0.9402233542319749
Barbarian,2,19,12,2,Paladin,2,23,18,2,Paladin,2,14,18,2,Artificer,2,14,17,2,10,Ox,0.25,10,15,0.0
Rogue,2,16,12,2,Bard,2,18,13,2,Fighter,2,17,16,2,Bard,2,11,14,2,10,Darkling,0.5,14,13,0.0
Artificer,4,36,16,3,Druid,4,35,12,3,Paladin,4,33,19,3,Bard,4,26,16,3,3,Orc War Chief,4.0,16,93,0.0
Barbarian,4,47,15,3,Sorcerer,4,26,11,3,Sorcerer,4,26,13,3,Sorcerer,4,26,11,3,11,Dryad,1.0,11,22,0.16479316326430607
Paladin,4,37,19,3,Fighter,4,34,15,3,Monk,4,24,12,3,Bard,4,30,12,3,6,Giant Vulture,1.0,10,22,0.495838222914923
Fighter,4,41,18,3,Cleric,4,28,16,3,Artificer,4,28,14,3,Sorcerer,4,17,10,3,3,Giant Boar,2.0,12,42,0.9296480120438808
Druid,4,41,14,3,Sorcerer,4,16,12,3,Ranger,4,51,17,3,Barbarian,4,41,16,3,10,Skulk,0.5,14,18,0.5637534075561059
Monk,3,20,15,3,Druid,3,24,14,3,Monk,3,22,16,3,Barbarian,3,24,14,3,10,Giant Badger,0.25,10,13,0.6748876476630714
Fighter,3,27,18,3,Wizzard,3,14,10,3,Wizzard,3,16,14,3,Monk,3,15,10,3,2,Giff,3.0,16,60,0.0
Ranger,5,37,16,3,Paladin,5,32,15,3,Fighter,5,50,13,3,Warlock,5,33,11,3,2,Archdruid,12.0,14,154,0.0
Fighter,2,16,15,2,Ranger,2,17,15,2,Artificer,2,19,17,2,Wizzard,2,14,14,2,10,Twig Blight,0.125,13,4,0.7103191626163993
Monk,4,33,10,3,Druid,4,30,11,3,Sorcerer,4,28,12,3,Druid,4,26,13,3,10,Yuan-ti Pureblood,1.0,11,40,0.7062320728685354
Sorcerer,4,24,10,3,Warlock,4,27,16,3,Sorcerer,4,30,13,3,Monk,4,36,11,3,1,Draegloth,7.0,15,123,0.0
Paladin,2,18,14,2,Fighter,2,21,12,2,Fighter,2,12,12,2,Artificer,2,18,14,2,10,Dolphin,0.125,12,11,0.0
Ranger,2,13,16,2,Wizzard,2,10,11,2,Cleric,2,16,17,2,Monk,2,20,12,2,2,Ghast,2.0,13,36,0.6688729874776386
Warlock,2,16,12,2,Sorcerer,2,10,13,2,Ranger,2,17,16,2,Warlock,2,17,13,2,10,Cranium Rat,0.0,12,2,1.0
Artificer,3,29,17,3,Druid,3,26,11,3,Bard,3,27,14,3,Artificer,3,21,14,3,4,Polar Bear,2.0,12,42,0.0
Barbarian,5,47,14,3,Ranger,5,40,12,3,Sorcerer,5,38,10,3,Paladin,5,38,18,3,10,Weasel,0.0,13,1,0.8293581331543987
Paladin,3,27,18,3,Wizzard,3,22,12,3,Bard,3,21,13,3,Artificer,3,25,18,3,4,Wererat,2.0,12,33,1.0
Rogue,3,29,16,3,Wizzard,3,20,13,3,Rogue,3,23,12,3,Warlock,3,20,11,3,2,Polar Bear,2.0,12,42,0.479695640806387
Warlock,4,32,13,3,Paladin,4,27,17,3,Sorcerer,4,27,13,3,Cleric,4,28,15,3,2,Duergar Mind Master,2.0,14,39,0.5486744961759616
Monk,3,16,13,3,Druid,3,26,12,3,Rogue,3,13,11,3,Ranger,3,30,17,3,1,Silver Dragon Wyrmling,2.0,17,45,0.931613555892767
Barbarian,2,26,15,2,Wizzard,2,13,15,2,Druid,2,14,16,2,Warlock,2,15,11,2,1,Cave Fisher,3.0,16,58,1.0
Wizzard,3,19,12,3,Sorcerer,3,18,11,3,Sorcerer,3,13,13,3,Paladin,3,27,14,3,9,Gnoll Flesh Gnawer,1.0,14,22,0.0
Warlock,3,27,15,3,Bard,3,25,16,3,Rogue,3,17,11,3,Sorcerer,3,20,12,3,1,Banderhobb,5.0,15,84,0.17894441622492263
Sorcerer,2,16,11,2,Ranger,2,22,14,2,Cleric,2,14,15,2,Bard,2,20,15,2,10,Xvart,0.125,13,7,0.0
